#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
1	Aaron Judge	NYY	145	638	518	149	24	1	49	105	118	109	160	6	8	3	.287	.414	.619	1.033	.427	180	-0.7	-2.3	59.1	-9.4	7.3	2.0
2	Cal Raleigh	SEA	151	626	541	127	23	0	44	88	112	74	172	6	8	2	.234	.331	.522	.852	.359	138	-0.3	15.0	28.0	21.7	7.3	18.4
3	Shohei Ohtani	LAD	148	660	560	159	26	6	47	122	116	89	156	5	23	11	.284	.385	.602	.987	.410	167	-0.7	0.0	51.5	-14.0	6.1	1.3
4	Juan Soto	NYM	154	675	545	145	25	1	37	106	97	121	120	4	17	6	.267	.401	.519	.920	.393	158	-0.2	-3.0	46.2	-10.3	6.0	4.3
5	Bobby Witt Jr.	KCR	151	660	599	170	36	6	27	100	90	48	114	6	35	10	.284	.341	.500	.841	.357	127	1.9	3.7	23.2	10.7	5.8	2.8
6	Julio Rodríguez	SEA	151	659	598	165	28	4	30	96	91	48	148	9	25	7	.276	.338	.486	.823	.352	133	1.1	0.5	27.1	2.7	5.4	11.0
7	Gunnar Henderson	BAL	153	658	581	156	33	4	27	97	83	65	142	6	20	5	.269	.345	.479	.824	.353	129	0.9	-1.3	23.5	5.7	5.3	13.1
8	José Ramírez	CLE	151	650	577	160	33	3	29	94	90	61	75	5	33	10	.277	.347	.496	.844	.354	129	1.3	0.6	23.8	0.8	4.8	6.0
9	Francisco Lindor	NYM	144	633	558	145	27	2	27	89	81	54	118	10	22	6	.259	.333	.461	.793	.342	123	0.9	1.0	18.4	7.2	4.8	20.0
10	Corbin Carroll	ARI	145	632	550	142	29	10	26	102	78	66	135	8	35	7	.259	.345	.488	.833	.356	129	3.0	7.1	24.5	0.6	4.7	9.5
11	Corey Seager	TEX	124	529	457	126	24	1	27	70	83	59	98	5	2	1	.276	.362	.510	.871	.368	140	-0.8	-0.1	24.0	3.3	4.7	100.3
12	William Contreras	MIL	145	603	526	139	26	1	19	72	77	67	118	5	6	2	.265	.351	.426	.776	.339	118	-0.6	5.5	12.5	12.7	4.6	52.3
13	Ketel Marte	ARI	141	616	537	147	30	3	29	86	94	67	102	6	5	2	.273	.358	.498	.856	.366	135	-0.8	-0.2	24.8	-0.2	4.6	32.3
14	Kyle Tucker	LAD	143	619	527	144	29	2	30	96	88	81	88	4	18	5	.272	.370	.503	.873	.372	141	0.4	0.4	30.6	-6.3	4.6	14.8
15	Yordan Alvarez	HOU	128	551	469	139	29	1	30	82	87	69	90	8	4	1	.296	.391	.552	.943	.397	159	-0.7	-0.4	37.3	-12.1	4.5	36.0
16	Fernando Tatis Jr.	SDP	148	648	566	151	27	3	27	96	82	70	130	6	24	7	.266	.351	.470	.820	.353	131	1.0	4.3	25.1	-2.7	4.5	15.5
17	Junior Caminero	TBR	148	631	580	158	25	1	36	83	105	41	121	5	5	1	.272	.322	.508	.830	.352	126	-0.4	-0.4	19.2	1.3	4.3	16.1
18	Mookie Betts	LAD	142	622	546	146	30	2	22	85	80	63	72	6	9	3	.267	.346	.454	.800	.346	123	-0.4	-1.6	16.6	4.9	4.3	57.1
19	Ronald Acuña Jr.	ATL	142	623	528	145	25	2	28	99	82	83	135	8	28	8	.275	.379	.487	.866	.374	141	1.3	-2.8	31.6	-10.1	4.3	7.3
20	Willy Adames	SFG	152	649	568	134	27	1	31	86	87	69	170	4	11	3	.237	.320	.451	.772	.333	116	0.0	0.8	12.2	7.8	4.3	136.1
21	Vladimir Guerrero Jr.	TOR	154	666	580	169	32	1	27	92	92	73	90	7	6	2	.291	.375	.488	.864	.370	140	-1.0	-0.4	30.7	-12.4	4.2	18.1
22	Trea Turner	PHI	143	625	570	162	29	4	19	85	75	39	114	5	24	6	.284	.333	.446	.780	.337	115	1.3	-0.4	12.3	6.2	4.0	28.9
23	Will Smith	LAD	124	501	427	111	21	2	21	69	67	57	94	9	3	1	.260	.355	.460	.815	.352	127	-0.7	-2.5	15.4	6.5	3.9	104.7
24	Wyatt Langford	TEX	143	613	533	133	28	2	23	85	72	70	144	6	20	5	.250	.342	.443	.785	.340	121	0.7	5.4	15.5	1.0	3.9	41.8
25	Matt Chapman	SFG	145	613	532	126	27	3	26	83	76	69	154	7	9	2	.238	.330	.447	.776	.336	118	-0.1	1.2	13.2	3.4	3.8	169.9
26	Elly De La Cruz	CIN	148	637	571	147	30	5	23	93	71	57	177	3	39	10	.258	.327	.447	.774	.332	108	2.6	0.6	8.6	7.2	3.8	8.9
27	Adley Rutschman	BAL	139	564	493	124	26	1	17	66	64	62	90	4	1	0	.251	.335	.409	.744	.325	110	-0.9	5.6	5.8	11.3	3.7	156.5
28	Alejandro Kirk	TOR	122	484	428	112	20	0	13	55	55	46	59	5	0	0	.262	.337	.401	.739	.323	108	-0.8	7.3	3.7	15.9	3.7	161.9
29	Zach Neto	LAA	147	633	567	141	29	1	27	85	76	43	159	16	27	8	.248	.317	.448	.765	.330	110	1.2	-1.7	9.0	5.2	3.7	27.4
30	Geraldo Perdomo	ARI	151	648	551	143	27	4	14	83	59	73	89	7	18	5	.259	.349	.394	.744	.328	109	0.3	-0.3	7.6	6.7	3.7	82.1
31	Shea Langeliers	ATH	128	526	478	124	25	2	31	73	79	39	121	4	6	2	.259	.317	.509	.826	.351	123	-0.2	-3.7	14.3	3.5	3.7	54.8
32	Jazz Chisholm Jr.	NYY	141	589	524	125	18	3	30	88	73	55	159	5	32	8	.238	.315	.457	.772	.331	114	2.2	1.8	12.0	3.6	3.7	21.8
33	Jeremy Peña	HOU	146	631	576	158	28	2	18	82	70	36	115	11	17	5	.274	.327	.423	.750	.326	110	0.4	-0.4	7.6	6.4	3.7	96.6
34	Nick Kurtz	ATH	142	577	497	128	25	2	37	88	93	71	178	4	3	1	.257	.353	.537	.890	.377	141	-0.7	-0.7	27.3	-11.9	3.6	17.7
35	Pete Crow-Armstrong	CHC	148	619	564	140	28	5	23	87	70	35	153	8	34	8	.248	.298	.440	.738	.316	104	2.8	5.8	5.5	8.1	3.5	29.5
36	Jackson Merrill	SDP	143	607	556	149	32	2	22	76	78	40	119	3	9	3	.268	.319	.456	.774	.332	117	-0.2	0.1	11.8	2.1	3.5	69.4
37	Rafael Devers	SFG	151	656	564	144	28	1	33	89	96	82	160	7	2	1	.255	.354	.487	.840	.358	133	-1.0	0.0	24.7	-12.7	3.5	56.3
38	Bryce Harper	PHI	140	606	522	143	31	1	27	84	87	74	127	5	10	4	.274	.367	.490	.857	.366	135	-0.9	0.4	24.0	-10.5	3.4	51.0
39	Kyle Schwarber	PHI	150	657	550	127	20	1	43	97	110	97	183	7	6	2	.232	.352	.509	.861	.368	136	-0.7	0.0	27.3	-16.0	3.4	25.0
40	Jacob Wilson	ATH	136	565	522	159	28	1	11	69	62	30	47	6	5	2	.304	.346	.425	.771	.336	113	-0.7	-0.5	7.9	5.6	3.4	189.2
41	Austin Riley	ATL	146	626	564	146	28	2	27	80	87	48	161	8	2	1	.258	.323	.460	.782	.337	116	-0.8	-0.7	10.8	1.1	3.3	73.5
42	Alex Bregman	CHC	149	641	564	141	27	1	22	76	79	64	90	8	2	1	.251	.332	.420	.753	.328	112	-0.9	0.5	8.4	2.8	3.3	120.3
43	Jackson Chourio	MIL	145	629	579	158	33	3	23	83	86	40	128	4	24	6	.272	.322	.461	.783	.335	116	1.3	4.7	13.3	-1.8	3.3	20.6
44	Byron Buxton	MIN	121	520	467	117	26	3	28	75	76	40	143	8	14	3	.250	.318	.498	.817	.347	123	0.8	-0.3	15.0	-0.6	3.3	71.0
45	Patrick Bailey	SFG	131	488	442	95	19	1	10	46	44	36	134	4	2	1	.214	.276	.329	.605	.268	71	-0.6	21.9	-17.1	32.0	3.2	999.0
46	Jordan Westburg	BAL	133	565	517	133	26	4	24	74	73	36	131	7	7	2	.258	.314	.459	.773	.332	115	-0.4	0.5	9.5	1.9	3.2	127.5
47	Manny Machado	SDP	146	623	564	146	26	1	25	78	82	50	122	2	9	2	.260	.320	.446	.766	.328	114	-0.1	-0.3	10.5	-0.6	3.1	39.4
48	Gabriel Moreno	ARI	112	441	393	108	21	1	10	53	52	39	75	4	4	1	.274	.343	.412	.755	.329	110	-0.5	3.3	4.8	11.1	3.1	181.0
49	Xander Bogaerts	SDP	137	567	504	134	24	1	13	70	59	45	102	5	18	4	.265	.327	.397	.724	.316	106	0.9	0.1	4.9	6.5	3.1	241.6
50	Maikel Garcia	KCR	150	640	576	154	30	4	13	82	65	53	93	2	26	6	.266	.327	.400	.727	.317	100	1.7	4.0	1.7	6.4	3.1	70.0
51	Bo Bichette	NYM	139	608	563	162	29	2	16	74	72	36	98	4	6	2	.287	.331	.431	.763	.330	115	-0.5	-0.8	10.3	-0.4	3.1	102.0
52	Riley Greene	DET	148	629	562	144	25	4	29	83	86	58	180	5	4	1	.256	.328	.469	.797	.342	120	-0.6	1.4	14.1	-6.1	3.0	80.7
53	Hunter Goodman	COL	138	558	514	132	29	2	29	71	88	34	146	6	2	1	.256	.307	.491	.797	.339	104	-0.5	4.7	2.4	8.7	3.0	67.0
54	Austin Wells	NYY	119	448	401	86	18	1	17	49	52	37	113	5	3	1	.215	.288	.394	.682	.297	90	-0.3	11.0	-5.6	19.8	3.0	245.0
55	Pete Alonso	BAL	153	655	574	143	24	2	36	88	96	62	151	13	3	1	.249	.332	.484	.817	.349	126	-0.8	-0.4	19.6	-12.8	3.0	26.4
56	Taylor Ward	BAL	149	628	550	134	24	2	27	81	81	66	156	7	5	1	.244	.329	.444	.773	.335	117	-0.6	2.1	11.8	-4.8	2.9	160.8
57	Brent Rooker	ATH	150	641	568	150	30	1	34	90	93	59	162	8	7	2	.264	.341	.501	.842	.359	129	-0.4	0.0	21.7	-15.2	2.9	53.6
58	Gleyber Torres	DET	149	639	556	143	26	1	17	76	69	72	111	4	8	3	.257	.343	.400	.743	.327	110	-0.6	-2.4	6.8	-0.1	2.9	251.6
59	Carlos Correa	HOU	130	550	489	131	24	0	17	66	66	49	110	3	0	0	.267	.336	.423	.758	.330	112	-0.9	0.2	7.2	2.3	2.9	278.5
60	Dansby Swanson	CHC	153	628	564	135	24	2	21	76	73	50	163	4	15	4	.239	.303	.399	.702	.305	97	0.5	2.1	-2.0	9.2	2.9	157.2
61	Randy Arozarena	SEA	152	654	567	133	25	3	23	88	72	66	171	17	25	7	.234	.330	.408	.738	.324	115	1.1	0.0	12.3	-7.2	2.8	92.2
62	Brendan Donovan	SEA	128	548	485	128	26	1	12	62	60	48	76	9	5	2	.265	.339	.393	.733	.322	113	-0.7	-0.2	7.6	1.1	2.8	310.5
63	Andy Pages	LAD	142	582	533	135	29	1	24	77	79	36	129	8	9	3	.253	.308	.449	.757	.325	109	-0.1	0.4	5.9	2.2	2.8	142.0
64	Luke Keaschall	MIN	126	534	474	129	27	1	12	68	54	46	90	9	20	5	.272	.344	.410	.753	.329	111	1.3	-0.5	8.0	0.8	2.8	136.0
65	Yainer Diaz	HOU	134	529	498	133	24	1	18	60	66	23	93	3	2	0	.267	.301	.424	.724	.311	100	-0.7	1.1	-0.9	9.6	2.8	112.2
66	Roman Anthony	BOS	139	599	520	136	30	2	17	77	69	70	144	5	9	3	.261	.352	.427	.778	.340	115	-0.5	4.1	10.0	-3.8	2.7	54.3
67	Freddie Freeman	LAD	143	618	543	150	32	2	21	84	80	62	112	7	9	2	.275	.354	.457	.810	.348	124	-0.3	-0.2	17.4	-11.3	2.7	72.2
68	Francisco Alvarez	NYM	114	438	391	87	15	1	18	50	55	38	119	6	1	0	.222	.299	.406	.704	.306	99	-0.6	6.7	-1.3	13.3	2.7	177.9
69	Nico Hoerner	CHC	146	605	553	152	25	3	6	73	55	37	59	9	26	7	.275	.328	.367	.695	.306	97	1.4	4.6	-0.7	7.0	2.7	109.7
70	Trevor Story	BOS	136	576	522	130	25	3	21	74	71	35	157	6	23	5	.250	.303	.431	.733	.316	98	1.8	0.0	0.3	6.3	2.7	105.3
71	James Wood	WSN	146	631	551	143	30	2	25	84	81	72	186	4	17	5	.260	.348	.456	.804	.347	123	0.1	-0.1	17.6	-12.5	2.7	31.0
72	Seiya Suzuki	CHC	141	605	531	133	25	3	24	80	78	64	153	4	10	3	.251	.334	.447	.781	.337	118	-0.2	-0.2	13.1	-7.5	2.6	97.9
73	Matt Olson	ATL	153	666	575	141	29	1	29	86	92	80	158	6	1	0	.245	.341	.451	.792	.342	120	-1.0	1.0	14.4	-10.8	2.6	50.3
74	Ryan Jeffers	MIN	127	504	443	107	22	1	15	58	55	46	107	9	2	1	.241	.323	.398	.721	.317	102	-0.7	3.3	0.5	7.8	2.6	325.8
75	J.P. Crawford	SEA	144	597	516	125	24	1	11	65	56	66	116	5	4	2	.242	.332	.356	.687	.307	103	-0.9	-2.6	1.0	4.0	2.6	735.5
76	Jose Altuve	HOU	138	595	536	141	26	1	22	76	71	49	104	5	12	3	.262	.328	.433	.761	.330	112	0.0	-3.0	8.6	-3.7	2.6	121.8
77	Marcus Semien	NYM	137	581	517	125	23	3	19	69	67	49	98	3	8	2	.241	.308	.408	.717	.312	102	-0.1	2.7	1.5	4.5	2.6	258.6
78	Brandon Nimmo	TEX	144	624	550	138	23	5	22	82	71	60	135	9	8	2	.252	.333	.432	.764	.332	115	-0.4	0.6	10.5	-7.1	2.5	153.1
79	Mike Trout	LAA	119	511	431	103	18	2	27	68	72	69	154	7	3	1	.240	.352	.478	.829	.355	128	-0.6	-0.4	16.4	-9.3	2.5	171.5
80	Brice Turang	MIL	150	636	568	143	25	3	13	77	62	57	134	2	30	7	.251	.320	.377	.697	.306	96	2.3	1.5	-0.5	4.0	2.5	54.0
81	CJ Abrams	WSN	140	610	555	139	28	3	18	77	67	37	118	12	31	8	.251	.309	.412	.721	.313	100	2.0	-3.7	1.8	2.3	2.5	56.2
82	Cody Bellinger	NYY	139	595	535	136	24	3	24	74	73	50	91	3	11	3	.254	.318	.444	.762	.327	111	0.2	1.2	7.9	-3.9	2.5	78.0
83	Bo Naylor	CLE	121	449	396	84	18	2	15	50	50	44	116	4	5	2	.212	.294	.380	.674	.295	89	-0.2	5.5	-6.0	14.8	2.5	605.5
84	Otto Lopez	MIA	135	556	510	136	24	3	11	64	56	36	86	4	17	4	.267	.318	.388	.706	.308	95	0.6	1.9	-2.6	8.1	2.5	233.5
85	Kazuma Okamoto	TOR	127	527	464	109	22	1	25	65	74	52	115	7	1	0	.235	.320	.450	.769	.331	113	-0.7	0.0	7.6	-1.8	2.4	999.0
86	Masyn Winn	STL	144	611	560	141	28	3	13	67	61	39	113	5	12	3	.252	.304	.381	.685	.299	93	0.2	1.7	-5.1	8.4	2.4	281.7
87	Trent Grisham	NYY	127	526	446	98	17	2	25	69	65	69	131	6	6	2	.219	.329	.435	.764	.333	115	-0.4	-5.6	9.1	-3.7	2.4	264.5
88	Jackson Holliday	BAL	128	550	489	123	24	2	14	70	56	53	123	4	14	5	.251	.327	.398	.725	.318	105	-0.1	-0.6	3.0	1.5	2.4	143.9
89	Josh Naylor	SEA	144	607	543	142	26	0	23	75	80	51	89	6	15	4	.261	.328	.438	.766	.329	118	0.4	0.9	13.1	-10.5	2.4	66.6
90	Ian Happ	CHC	146	633	546	130	28	1	21	79	74	78	149	5	8	2	.238	.336	.409	.745	.327	111	-0.4	1.0	8.2	-5.8	2.4	189.2
91	Drake Baldwin	ATL	131	517	465	118	21	1	16	59	63	43	94	4	0	0	.253	.320	.406	.726	.317	102	-0.8	3.8	0.4	5.7	2.4	91.8
92	Oneil Cruz	PIT	127	528	469	110	22	4	20	74	61	52	161	4	25	6	.235	.315	.426	.741	.320	103	1.7	0.3	3.6	2.0	2.4	89.2
93	Ben Rice	NYY	131	539	474	115	23	2	25	70	70	53	112	8	5	1	.243	.327	.457	.784	.339	119	-0.4	0.7	11.6	-7.1	2.4	49.4
94	Max Muncy	LAD	113	459	385	84	16	1	23	63	64	64	112	6	2	1	.219	.336	.443	.779	.338	117	-0.6	-2.7	8.9	-1.3	2.3	257.0
95	Luis Arraez	SFG	140	608	561	173	28	3	5	71	61	34	24	4	8	3	.309	.349	.396	.746	.325	111	-0.9	-3.3	6.8	-4.3	2.3	287.1
96	Isaac Paredes	HOU	115	489	421	102	18	0	22	62	63	55	82	9	1	0	.242	.340	.442	.782	.341	120	-0.8	0.2	10.8	-5.1	2.3	214.0
97	Wilyer Abreu	BOS	125	505	448	109	25	1	22	62	70	49	125	3	8	3	.243	.320	.450	.769	.331	108	-0.2	6.1	4.6	0.2	2.3	220.0
98	Iván Herrera	STL	127	536	471	126	22	1	17	67	63	51	108	9	8	2	.267	.349	.426	.775	.339	120	-0.4	1.4	12.4	-8.3	2.2	158.9
99	Daulton Varsho	TOR	134	543	491	108	21	2	26	69	72	43	142	5	9	2	.220	.287	.433	.720	.309	98	0.2	2.0	-0.9	4.1	2.2	211.2
100	Agustín Ramírez	MIA	121	502	458	113	25	1	17	58	62	35	101	5	10	2	.247	.305	.417	.722	.312	98	0.3	5.7	-0.9	6.0	2.2	82.2
101	Brandon Lowe	PIT	125	534	479	117	23	1	24	65	76	45	137	5	4	1	.244	.314	.450	.764	.329	109	-0.5	-2.9	5.2	-1.4	2.2	191.8
102	Dillon Dingler	DET	110	416	382	91	19	1	12	43	47	24	107	7	2	1	.239	.293	.389	.682	.297	89	-0.5	4.7	-6.1	13.2	2.2	240.6
103	Steven Kwan	CLE	147	646	575	157	26	3	8	74	58	58	56	5	16	5	.274	.343	.372	.714	.316	103	0.0	3.5	2.5	-3.3	2.2	171.1
104	Colson Montgomery	CHW	130	549	491	106	20	2	22	61	66	45	167	9	3	1	.216	.292	.399	.691	.300	91	-0.5	2.7	-6.3	8.7	2.2	229.2
105	Bryson Stott	PHI	141	574	517	131	24	2	12	69	56	48	97	3	22	6	.252	.317	.378	.696	.305	93	1.2	3.3	-3.6	5.5	2.2	185.1
106	Tyler Soderstrom	ATH	140	585	524	133	28	2	25	76	76	50	142	6	6	2	.253	.322	.455	.777	.334	112	-0.5	0.0	7.5	-6.9	2.1	90.1
107	Colton Cowser	BAL	128	515	456	103	22	1	20	65	61	47	163	7	11	3	.227	.307	.410	.717	.312	101	0.1	0.4	0.6	2.4	2.1	267.6
108	Ezequiel Tovar	COL	148	630	585	153	34	3	20	74	78	30	159	4	10	3	.262	.301	.429	.730	.314	87	0.0	2.2	-9.7	9.0	2.1	209.4
109	Michael Harris II	ATL	138	567	530	139	27	2	18	73	68	27	113	5	19	5	.262	.302	.425	.727	.312	99	0.8	-1.0	0.3	1.1	2.1	101.1
110	Kyle Teel	CHW	115	463	406	99	18	1	12	53	46	48	120	5	5	2	.244	.328	.385	.713	.315	101	-0.4	0.0	0.2	4.1	2.1	185.0
111	Vinnie Pasquantino	KCR	147	630	565	149	31	2	27	76	93	51	92	6	1	0	.263	.327	.467	.794	.339	115	-0.9	-0.2	10.5	-12.2	2.0	80.3
112	Andrés Giménez	TOR	139	558	507	124	22	2	10	65	49	30	100	14	22	5	.245	.303	.354	.657	.289	84	1.6	2.7	-8.6	9.1	2.0	472.4
113	Luis Robert Jr.	NYM	126	517	469	111	20	1	20	71	57	37	146	6	30	7	.237	.299	.411	.710	.307	99	2.6	-1.7	2.1	0.0	2.0	106.4
114	Danny Jansen	TEX	89	330	286	59	12	0	13	36	39	35	80	5	0	0	.205	.301	.382	.683	.301	94	-0.5	3.9	-3.0	10.7	2.0	999.0
115	Teoscar Hernández	LAD	132	554	509	134	26	1	26	76	80	35	142	5	6	2	.263	.314	.469	.783	.335	116	-0.3	-3.3	10.2	-9.5	2.0	138.1
116	Jeff McNeil	ATH	132	535	477	124	26	2	13	62	56	42	70	8	3	1	.260	.328	.404	.732	.319	101	-0.7	-0.8	0.3	0.4	2.0	685.7
117	J.T. Realmuto	PHI	120	469	421	106	19	3	13	56	53	30	113	7	8	2	.252	.310	.403	.713	.310	96	0.0	-3.5	-2.1	5.4	1.9	217.0
118	Sean Murphy	ATL	86	332	289	65	12	1	14	40	44	32	92	7	0	0	.223	.314	.415	.728	.318	103	-0.5	4.6	0.7	7.1	1.9	658.0
119	Willson Contreras	BOS	133	562	486	122	23	1	23	72	75	51	143	16	5	2	.252	.341	.443	.785	.342	116	-0.6	0.4	9.9	-10.5	1.9	173.9
120	Munetaka Murakami	CHW	133	539	451	93	16	1	30	76	76	80	204	6	10	3	.206	.331	.445	.775	.337	116	-0.2	0.0	10.1	-10.0	1.9	999.0
121	Eugenio Suárez	CIN	142	598	533	126	23	1	37	76	98	49	175	10	2	1	.236	.310	.491	.801	.342	115	-0.6	0.0	9.8	-11.0	1.9	111.0
122	Yandy Díaz	TBR	142	615	549	155	27	1	17	73	76	56	91	5	2	1	.282	.352	.426	.778	.340	118	-1.0	-0.1	11.8	-14.3	1.9	133.5
123	Salvador Perez	KCR	141	576	526	132	25	0	27	64	90	29	119	9	0	0	.252	.300	.453	.753	.321	102	-0.7	-2.7	0.9	-2.2	1.9	97.6
124	Miguel Vargas	CHW	137	576	509	121	28	1	17	65	62	55	108	6	8	2	.237	.316	.399	.715	.313	100	-0.2	-2.1	-0.3	-1.0	1.9	319.4
125	Xavier Edwards	MIA	134	578	520	145	23	3	3	67	44	46	81	3	27	7	.278	.337	.354	.692	.306	94	1.7	-0.6	-2.5	1.5	1.9	184.7
126	Matt McLain	CIN	131	535	475	111	21	3	17	65	55	48	151	6	16	4	.233	.310	.395	.705	.308	92	0.6	2.7	-4.5	4.9	1.9	184.9
127	Jake Cronenworth	SDP	142	580	501	115	25	2	13	64	57	61	117	10	4	2	.229	.322	.364	.686	.305	98	-0.7	-0.6	-2.0	0.9	1.9	999.0
