,Name,W,W,SO,SO,WHIP,WHIP,ERA,ERA,W_sharpe,SO_sharpe,WHIP_sharpe,ERA_sharpe,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,,,,,
1,Tarik Skubal,14.25,0.7071067811865477,238.0,9.289010404005062,0.97,0.025071326821120364,2.65125,0.1121781109282402,10.253048327204937,15.063499115004733,-12.364722545870713,-13.337606486858238,51.01887647493862
2,Max Fried,13.625,0.517549169506766,171.625,8.382592507265109,1.17125,0.024748737341529173,3.32625,0.043732139211339595,12.800716125800662,8.774135201759476,-4.39416356880212,-18.777665918228593,44.74668081459085
3,MacKenzie Gore,10.5,0.5345224838248487,180.5,2.7255405754769817,1.24,0.01690308509457035,3.8575,0.07741354624907158,6.547900426854398,30.24170718338151,-2.366431913239846,-3.7453070431258917,42.901346566601646
4,Paul Skenes,13.125,0.6408699444616558,221.25,12.668859459319926,1.05375,0.02326094212561974,2.8325,0.12464234547582242,9.5573213456673,9.722658965119829,-9.726605172660095,-10.549685140954487,39.55627062440171
5,Garrett Crochet,14.125,1.125991626459604,230.5,15.023790657297038,1.0725,0.014880476182856768,2.9825,0.17152675759609212,6.32775575996312,8.814353382625265,-13.94444622941925,-6.791578855254595,35.87813422726223
6,Logan Webb,14.25,1.281739888923311,190.5,5.264435935053795,1.165,0.02618614682831912,3.2375,0.123143354324485,5.656373857639833,17.556486799388804,-4.391635040999341,-7.3892538090386735,34.993749507066646
7,Freddy Peralta,11.5,0.5345224838248488,179.125,5.488624600025034,1.2037499999999999,0.022638462845343554,3.79875,0.0535690475661351,8.418729120241368,14.76690535542007,-3.3681615452828244,-6.509122634101682,33.06291865504594
8,Yoshinobu Yamamoto,12.375,0.7440238091428447,171.25,5.994044663544928,1.11125,0.06424006315599098,3.3175,0.07667184247539263,7.224231179096658,12.207950408685093,-2.626865412479945,-10.824540968431315,32.88358796869301
9,Joe Ryan,10.875,0.35355339059327356,182.625,6.78101340930269,1.10625,0.028252686345094397,3.80875,0.143271719869225,10.960155108391493,12.468637782666546,-6.149857676460165,-2.363952218268516,31.94260278578672
10,Jesús Luzardo,11.75,0.7071067811865476,193.875,7.100050301632681,1.18125,0.012464234547582375,3.73375,0.18345396464196997,6.717514421272201,13.492862153099178,-7.922668626221749,-2.2549935119001376,30.38803871249327
11,Cristopher Sánchez,12.625,1.6850180160122066,188.75,10.319883720275145,1.145,0.018516401995450977,3.195,0.08734169352933009,3.3382432392694676,8.786436209727222,-7.290833285708864,-10.90472901902415,30.320241753729704
12,George Kirby,11.875,0.8345229603962802,164.125,9.627898450411106,1.1025,0.013887301496588272,3.5375,0.14897267247001073,5.841660722773962,6.8602717758390686,-12.781460821859946,-4.094291187014749,29.577684507487724
13,Jacob deGrom,10.5,0.5345224838248487,176.875,15.751984002023365,1.06875,0.022320714274285357,3.49625,0.08568005268772555,6.547900426854398,5.00254444074334,-9.464302862537473,-7.600222917384928,28.61497064752014
14,Logan Gilbert,10.5,1.1952286093343936,184.5,8.960229588895274,1.065,0.02203892660077356,3.39125,0.14788388302023595,2.9283100928692645,9.645400170003406,-9.75546603946009,-5.11338683131904,27.442563133651802
15,Dylan Cease,12.0,0.7559289460184544,208.25,8.713700214522609,1.19875,0.026423744732991333,3.59875,0.11667261889578034,6.614378277661477,12.643882310339052,-3.0748858960386283,-4.702795781845984,27.03594226588514
16,Hunter Brown,12.5,0.7559289460184546,192.875,7.356969484781081,1.185,0.02828427124746195,3.40875,0.2517616503191631,7.275816105427623,12.88574054793989,-3.358757210636094,-2.9340747451549962,26.4543886091586
17,Framber Valdez,13.0,0.9258200997725514,173.0,7.819389819088006,1.2275,0.028157719063467205,3.4525,0.09437766079503583,6.48074069840786,9.58194970879949,-1.8644976136620135,-7.363368557197304,25.290556578066667
18,Bryan Woo,12.75,0.8864052604279182,190.625,14.070612739221515,1.05,0.03891382420536064,3.37,0.1337374827253537,6.4868748604043125,6.577538712441355,-5.910495940625541,-5.813160859297484,24.788070372768694
19,Zack Wheeler,9.625,0.744023809142845,153.625,12.58045536309625,1.095,0.025634797778466157,3.2925,0.10152409988344085,3.5281129014192967,4.415579436254069,-7.216752852850841,-8.421030090210579,23.581475280734786
20,Chris Sale,11.375,1.1877349391654206,191.125,17.715509750337006,1.1,0.0169030850945703,3.2475,0.231439594093763,3.683481773361115,5.252459641937761,-10.648943609579325,-3.8884336257322003,23.473318650610402
21,Sonny Gray,11.75,0.7071067811865476,178.375,10.377688980280173,1.20125,0.02100170061141313,3.76125,0.0947835880911275,6.717514421272201,7.7377535742868355,-3.749696343981036,-4.07441317402659,22.279377513566665
22,Kevin Gausman,11.5,0.5345224838248487,173.75,7.459413994601531,1.22875,0.020310096011589906,3.9899999999999998,0.2168607189616673,8.41872912024137,10.144898788935288,-2.5233755650763214,-0.7259844048927497,21.81298787914573
23,Nick Pivetta,10.625,0.9161253813129042,184.25,8.224527776283399,1.15875,0.025319388392523033,3.9125,0.10713809513227052,3.9568819660961614,10.477805211929363,-4.788820255856019,-2.1928474620530682,21.41635489593461
24,Nolan McLean,10.25,0.4629100498862759,143.75,4.131758532565597,1.275,0.02563479777846637,3.8137499999999998,0.10769500585316981,7.02080242327518,11.054615036188554,-0.19504737440137693,-3.098449156081999,21.36891398994711
25,Cole Ragans,10.5,1.3093073414159542,190.5,19.227955838161417,1.1475,0.03284161123592183,3.4025,0.07796519369931304,2.673169155390907,4.806803218081331,-4.0345158173930535,-9.554744427019406,21.069232617884698
26,Pablo López,10.375,1.0606601717798214,158.75,11.080871549012482,1.19625,0.009161253813129036,3.81125,0.12322308457196071,3.1819805153394634,5.4756523195512825,-9.141761783739414,-2.7282834313701234,20.527678050000283
27,Brandon Pfaadt,9.75,0.4629100498862759,143.75,3.2841611235921824,1.25625,0.02669269563007826,4.36125,0.24764245539544652,5.940678973540536,13.907661129013414,-0.8897565210026076,0.8633919400394212,19.874704683517137
28,Jack Flaherty,10.375,0.5175491695067657,172.375,7.130167299179293,1.24625,0.028753881725529094,4.02,0.11964232409262898,6.521119535785248,10.420512855084368,-1.1737545671976197,-1.0651539993600923,19.180540957427326
29,Luis Castillo,10.875,0.6408699444616557,161.625,7.89099848833195,1.20875,0.018850918886280987,3.94875,0.2598591651535227,6.046468606442579,8.05348018935353,-3.7796566008171193,-0.7645968533863976,18.644202249999626
30,Ranger Suárez,11.5,0.7559289460184546,145.625,5.974648824109128,1.2525,0.02659215781283756,3.695,0.18593393604027345,5.952940449895327,7.9586267577977905,-1.0341394704992406,-2.4333239516964857,17.379030629888845
31,Tanner Bibee,10.625,0.7440238091428449,164.375,7.46300399111702,1.2275,0.03284161123592185,3.9475,0.2023963579570685,4.872155911483791,8.883822128316536,-1.598581738967057,-0.9878512736993509,16.342411052466737
32,Shohei Ohtani,7.875,1.5526475085202969,130.625,13.958484363077742,1.125,0.017728105208558276,3.41125,0.1710002088553443,0.5635535401295894,2.3319150670899185,-8.743179159675423,-4.305184800228924,15.943832567123854
33,Nick Lodolo,8.875,0.6408699444616557,151.625,6.823017765517796,1.19875,0.01726888200533805,4.1675,0.2711220073272232,2.9257106160206026,7.848433323833816,-4.704994797861526,0.0739980505373984,15.405140687178548
34,Andrew Abbott,9.25,0.4629100498862759,149.125,4.998213966722803,1.26375,0.028753881725529045,4.2625,0.33122068603446714,4.8605555238058935,10.213648383178791,-0.5651410879099703,0.34738923277281963,15.291955762121836
35,Matthew Boyd,10.5,0.5345224838248487,144.625,10.041876603219425,1.21,0.028284271247461926,3.9562500000000003,0.15482132558902498,6.547900426854398,4.635587733180876,-2.4748737341529163,-1.2348912481702221,14.893253142358413
36,Michael King,10.375,1.060660171779821,161.875,15.179285697479779,1.23875,0.009910312089651185,3.75125,0.17175044187924024,3.1819805153394647,4.2030963295323405,-4.162331077653468,-2.3067626241017973,13.85417054662707
37,Shota Imanaga,9.125,0.8345229603962804,134.5,5.154748157905345,1.15625,0.03248626083219083,4.0925,0.1274754878398196,2.5463649304399314,7.066300599795252,-3.809302666109711,-0.4309652069661549,13.85293340331105
38,Blake Snell,10.375,1.407885953173359,166.75,17.018897060116945,1.225,0.017728105208558362,3.55,0.1394888628426759,2.3972112175654487,4.035220364599121,-3.102418411497711,-4.283048035697492,13.817898029359773
39,Spencer Strider,11.0,1.1952286093343938,177.875,10.260012531320667,1.22125,0.031819805153394665,3.965,0.2154065922853802,3.346640106136302,7.777768278196066,-1.8463343730982085,-0.8469448314668965,13.817687588897472
40,Edward Cabrera,8.75,0.7071067811865477,144.625,5.853875395228117,1.23625,0.03662064211031025,3.8775,0.12914554358773458,2.474873734152916,7.951997071537602,-1.19468140040293,-2.0901805242440954,13.711732730337543
41,Hunter Greene,10.375,1.1877349391654208,204.125,21.662591191795524,1.10375,0.047490600573767604,3.64875,0.2257962102680834,2.8415430823071457,4.895536229302306,-3.7112607099215182,-2.2085733830869776,13.65691340461795
42,Merrill Kelly,10.375,0.5175491695067657,149.75,8.031189202104509,1.27,0.03380617018914069,4.10125,0.2746133645691702,6.521119535785248,6.434289953779073,-0.2958039891549808,-0.16819101310841547,13.419404491827718
43,Carlos Rodón,10.375,0.7440238091428449,154.75,13.456278407175905,1.23625,0.015059406173077184,4.046250000000001,0.07998883850709658,4.536145158967668,4.211788600463009,-2.905161033388891,-1.2650202439309302,12.918115036750498
44,Brady Singer,10.25,0.8864052604279183,156.75,5.092010548749032,1.3062500000000001,0.02973093626895346,4.49875,0.23654884726596548,3.6664944863154805,11.52295334785095,0.882918713441651,1.4851583681783904,12.821370752546388
45,Aaron Nola,10.5,1.1952286093343936,164.125,14.701190427989157,1.21625,0.011877349391654378,4.19875,0.16225531028069842,2.9283100928692645,4.492833442538734,-5.367359155468974,0.31624542772271164,12.47225726315426
46,Gavin Williams,9.625,0.5175491695067657,167.625,9.840695387739919,1.3050000000000002,0.03162277660168378,3.91,0.23384976862446163,5.071981861166304,7.067589967945684,0.7905694150420994,-1.0153420351734426,12.364344449243331
47,Zac Gallen,12.125,1.3562026818605373,163.125,8.741322227541684,1.27125,0.04257346591481601,4.08125,0.18003471887388836,3.7789336863492653,7.4416659524395525,-0.205527076830147,-0.3676374224594046,11.79376413807837
48,Mitch Keller,9.625,0.744023809142845,150.5,5.477225575051663,1.30375,0.027742437837054913,4.32125,0.28762264464795856,3.5281129014192967,9.571451692402777,0.8560891490320879,0.6043074258382598,11.639168018951727
49,Nathan Eovaldi,9.875,1.642080561796093,150.0,23.58570995933161,1.1624999999999999,0.03058944729337697,3.765,0.1090216230190796,1.7508276188686813,2.2015449223081816,-3.841193954015655,-3.5079050321335807,11.301471527326099
50,Jack Leiter,9.375,0.517549169506766,146.0,6.414269805898183,1.29125,0.04189698250300545,4.2775,0.20197241678718705,4.588935969626653,7.471622094214219,0.26851575764896607,0.6439616957054268,11.14808061048648
51,Jacob Misiorowski,9.0,0.5345224838248488,161.0,10.90216230190795,1.26875,0.04051013982414073,3.8850000000000002,0.21226667863125123,3.7416573867739413,5.771790793188588,-0.27770824906646957,-1.2363574994071713,11.02751392843617
52,Joe Musgrove,8.625,1.597989808656935,130.875,22.318714120665646,1.2037499999999999,0.010606601717798233,3.95125,0.15697474774170345,1.016902605508959,1.4696187165025512,-7.188918942063234,-1.2498029321430701,10.925243196217814
53,Chase Burns,7.875,0.6408699444616557,149.25,15.397124035722662,1.14875,0.029970223317724587,3.61625,0.2932058029049611,1.3653316208096145,3.3236726470001527,-4.3793467472222,-1.8116541171327951,10.880005132164762
54,Noah Cameron,8.125,0.35355339059327384,121.5,2.5634797778466263,1.3062500000000001,0.03583194903195434,4.2924999999999995,0.20112185361118776,3.1819805153394634,9.137969490704341,0.7325864405698611,0.7212667216186124,10.866096843855331
55,Brandon Woodruff,9.5,1.0690449676496976,147.875,19.94590899694185,1.1425,0.03370036032024407,3.78875,0.18665763158406212,2.338535866733713,2.496752592606106,-4.080075070218244,-1.9216331898996761,10.836996719457739
56,Shane Smith,8.0,0.7559289460184543,148.375,5.235524260827592,1.28375,0.05804862493757164,4.2575,0.21485875759271658,1.3228756555322956,9.607442825992933,0.06460101344403689,0.5122551262659427,10.353462341815248
57,Shane Baz,9.625,0.744023809142845,150.25,7.667184247539265,1.2725,0.03105295017040587,4.22875,0.10789379698838791,3.5281129014192967,6.804975374987923,-0.24152294576982652,0.7536346135705224,9.820976608606525
58,Ryan Pepiot,10.125,0.8345229603962802,166.0,13.416407864998735,1.24,0.035856858280031836,4.172499999999999,0.23523544436524485,3.744654309470488,5.062830579055776,-1.1155467020454342,0.10654219251536677,9.816489398056332
59,Gerrit Cole,7.625,0.744023809142845,122.875,14.237149594333433,1.18125,0.018077215335491097,3.9225,0.14704226797566947,0.8400268812903087,1.7419217123258104,-5.462677639632012,-1.529747215523222,9.574373448771354
60,Quinn Priester,10.125,0.6408699444616557,137.25,10.687108388815272,1.28875,0.035632048174962606,4.08125,0.0832273135111649,4.876184360034338,3.6656313920235992,0.24556545155740878,-0.795261762127175,9.091512062627704
61,Cody Ponce,8.5,1.1952286093343936,154.125,14.055375179217789,1.24,0.01309307341415955,4.08625,0.0838259250726513,1.2549900398011133,3.987798211382879,-3.0550504633038944,-0.72993527893631,9.027773993424196
62,Kyle Bradish,8.25,1.9086270308410551,143.375,16.387604200387905,1.20125,0.029489707647632882,3.65375,0.1701207554314624,0.6549210399944798,2.7642844827145465,-2.670423218194274,-2.9019827636428204,8.991611504546121
63,Clay Holmes,10.25,0.4629100498862758,118.625,7.872873862646527,1.35,0.025071326821120243,3.955,0.10056980518170293,7.020802423275181,2.6102285338904148,2.792034123261144,-1.9134719377482747,8.752468771652726
64,Drew Rasmussen,9.5,0.9258200997725514,139.5,15.955294687702528,1.1875,0.04743416490252569,3.75875,0.27771709654662197,2.7003086243366083,2.5963168221473305,-1.9500712237705013,-1.3995807418170543,8.646277412071495
65,Tyler Glasnow,8.5,2.267786838055364,148.75,12.429802894656055,1.1975,0.036547425158474436,3.7575,0.2437064979495975,0.6614378277661475,4.076894897648515,-2.257340965670473,-1.6000291468660195,8.595702837951155
66,Eury Pérez,8.125,0.8345229603962804,148.375,22.44954660693937,1.18,0.02672612419124244,3.95125,0.16383244925402127,1.3480755514093754,2.2405797711946573,-3.7416573867739444,-1.197488659257069,8.527801368635046
67,Emmet Sheehan,8.75,1.7525491637693285,156.625,25.35427549180386,1.165,0.03422613871631687,3.83,0.2067434573157205,0.9985454537755473,2.309275215492833,-3.3600050812969804,-1.5354173917834646,8.203243142348825
68,Casey Mize,8.875,0.6408699444616557,124.625,7.689278249614849,1.25875,0.016420805617960946,4.12125,0.09187530369240385,2.9257106160206026,3.4528598313281074,-1.294089979163806,-0.28503307142989026,7.957693497942406
69,Sandy Alcantara,10.375,0.9161253813129044,146.375,12.637105229103241,1.2625,0.04621378891320528,4.145,0.1895106480234968,3.683993554641253,3.8220778512443783,-0.3786748589878023,-0.012862074112573743,7.897608338986007
70,Justin Steele,5.75,1.0350983390135313,79.5,17.113069358158484,1.1775,0.02659215781283756,3.58125,0.09046506823867755,-1.20761472884912,-1.0854277284363687,-3.854519844588069,-6.258631215600315,7.820108602902895
71,Zebby Matthews,6.75,0.46291004988627593,115.25,4.713203338949604,1.2225,0.014880476182856942,4.0275,0.14200100603265348,-0.5400617248673214,3.6440184657570223,-3.8641236539354167,-0.8446242977491293,7.812704692574246
72,Spencer Schwellenbach,6.125,0.8345229603962804,85.5,16.518388022356866,1.12,0.041403933560541194,3.54625,0.10662852740773875,-1.0485032066517364,-0.7612728301926504,-3.864367132317187,-5.638148763896061,7.692739859368862
73,Shane McClanahan,8.25,1.0350983390135313,133.375,13.896942109687295,1.18125,0.044219420426517775,3.66625,0.2988997681975874,1.20761472884912,2.5401271532528766,-2.233181689120039,-1.609862406055502,7.5907859772775375
74,Cam Schlittler,8.5,0.5345224838248488,127.875,7.735585673643968,1.2775,0.020528725518857052,4.01875,0.16496211686323603,2.806243040080456,3.8523262823566222,-0.1217805751118609,-0.7801033500721252,7.560453247621064
75,Michael Wacha,9.75,0.4629100498862757,123.5,7.57816411992848,1.3050000000000002,0.031167748898959232,4.42125,0.28200493916647223,5.940678973540539,3.355034226975803,0.8021111848996879,0.9709493060983727,7.522652709518281
76,Bryce Miller,8.5,0.9258200997725514,123.875,7.160157619972981,1.2149999999999999,0.029277002188456015,4.14125,0.18642788724559742,1.620185174601965,3.6032726329978986,-2.2201726659579175,-0.0331897769771323,7.476820250534915
77,Kris Bubic,8.875,1.1259916264596033,131.75,11.865315599920397,1.26,0.03545621041711679,3.7775,0.1696003706195412,1.6651988842008218,2.8381040282001377,-0.5640760748177659,-2.1812304928853496,7.248609480104076
78,JP Sears,8.0,0.0,111.75,9.069178573608529,1.27,0.027080128015453238,4.7825,0.226917753088353,8.0,1.5078543099586224,-0.36927447293799803,2.79864616741878,7.078482615477841
79,Bailey Ober,7.375,0.7440238091428449,124.875,4.911720676097125,1.21875,0.024748737341529256,4.38375,0.16457195560431492,0.5040161287741853,5.456336336555566,-2.4748737341529083,1.435922050827258,6.999304148655401
80,Dean Kremer,8.75,0.4629100498862758,122.0,3.3806170189140663,1.30375,0.015979898086569397,4.435,0.11250396818398375,3.780432074071251,7.077110440532919,1.4862422695900086,2.5560209532319216,6.81527929178224
81,Robbie Ray,9.5,0.9258200997725513,173.25,13.833189901723419,1.2962500000000001,0.016850180160122092,4.22625,0.2028326192420034,2.700308624336609,5.434393696180971,0.964381380233406,0.3885592972891995,6.781761642994974
82,José Soriano,10.375,0.7440238091428449,153.375,13.637527006651274,1.35,0.018516401995451008,3.8475,0.17425350990521157,4.536145158967668,4.054987386864875,3.7804320740712596,-1.7212709239725277,6.5319713957338115
83,Braxton Garrett,6.625,1.0606601717798214,105.5,12.535663410560176,1.23,0.010690449676496976,3.9787500000000002,0.1064273729558599,-0.35355339059327373,0.5923100961489691,-4.6770717334674305,-1.5850010698841692,6.5008295089072945
84,Yusei Kikuchi,8.75,1.035098339013531,166.0,10.309496315810694,1.33625,0.05180664601601386,4.35625,0.27380584883662173,1.6906606203887682,6.588585699946359,1.0857680302757404,0.7626298009601601,6.430848489099225
85,Jameson Taillon,9.375,0.5175491695067657,117.5,7.65319727770221,1.23375,0.03292307050426144,4.395,0.11649647450214357,4.588935969626656,2.538154877647706,-1.4047899935096788,2.125064308237454,6.406816532546587
86,Ryne Nelson,9.0,0.9258200997725511,133.625,9.694438759265173,1.25875,0.032705394924123124,4.18125,0.23393756798403648,2.160246899469288,3.6670508610954036,-0.6497398991603748,0.1445364260703437,6.332501233654723
87,David Peterson,9.5,1.6035674514745462,142.875,6.174544517614234,1.3487500000000001,0.020310096011589816,3.98,0.18647098587026523,1.559023911155809,7.25559591840309,3.385016001931669,-0.8979278959596007,6.32753172358683
88,Cade Horton,8.25,0.4629100498862759,112.625,7.0698050084244075,1.2349999999999999,0.05318431562567514,4.04125,0.14846235694131843,2.7003086243366075,2.0580482746924664,-0.8461141122266516,-0.7152486474532517,6.319719658708977
89,Trey Yesavage,7.75,2.6049403612586386,153.125,24.660190591315388,1.23125,0.03522884370187912,3.78,0.1624807680927192,0.2879144609812179,2.232342844073032,-1.3838092562033117,-2.261421485835928,6.16548804709349
90,Sean Manaea,7.375,1.302470180629319,135.5,13.082157969649238,1.2175,0.020528725518857014,4.175,0.2508841508402977,0.287914460981218,2.8607665560090663,-3.044514377796593,0.10986146357864306,6.083333931208234
91,Reid Detmers,7.875,1.4577379737113252,154.0,12.592514783450863,1.24875,0.037201190457142264,4.10625,0.2985650204370422,0.6002450479987809,4.441130382749035,-0.8400268812903084,-0.13795152539875183,6.019353837436877
92,Shane Bieber,7.0,0.7559289460184544,101.5,8.071112509614592,1.1949999999999998,0.02976095236571386,3.825,0.14677485187475786,0.0,0.4243529000394966,-2.8560913963870505,-2.1968170696921128,5.477261366118659
93,Trevor Rogers,9.125,0.8345229603962804,129.5,11.451762185046341,1.28375,0.04103569874424682,4.11625,0.13447649821224755,2.5463649304399314,2.744119157576869,0.09138384662027152,-0.23191784746488348,5.431018088861412
94,Brayan Bello,9.625,0.7440238091428449,126.75,6.363961030678929,1.355,0.031622776601683736,4.26,0.1627443218232647,3.528112901419297,4.505841544560945,2.371708245126287,0.6916523952352667,4.970593805618689
